,Age,Gender,Height_CM,Weight_KG,Body_Fat,Diastolic,Systolic,Grip_Force,Sit_and_BendForward_CM,Sit_Up_Counts,Broad_Jump_CM,Performance
41,52,M,173.6,84.9,30.3,93,144,42.0,9.0,43,185,Weak
42,39,M,173.3,69.8,23.8,76,137,40.0,18.2,38,227,Average
43,33,F,159.6,60.5,32.1,62,106,21.9,22.2,24,129,Average
44,25,F,161.8,57.7,21.7,74,115,29.3,26.6,50,190,Strong
45,31,M,169.9,73.1,19.2,97,145,45.0,14.5,37,249,Weak
46,34,M,183.6,76.82,16.3,80,120,46.3,14.2,55,220,Good
47,26,M,172.1,66.1,24.9,62,102,19.9,-9.9,44,159,Weak
48,28,M,180.1,82.1,15.0,83,147,52.6,18.8,55,247,Strong
49,58,M,164.2,64.0,19.8,93,150,36.8,18.3,38,205,Good
50,48,M,169.8,75.4,14.7,94,149,51.4,24.7,55,246,Strong
51,23,M,180.1,65.9,14.4,72,130,45.4,18.1,56,234,Strong
52,38,F,157.2,51.7,27.3,64,106,25.1,14.7,19,139,Average
53,43,F,168.3,69.3,31.9,88,139,32.1,20.2,33,164,Good
54,21,F,159.5,51.3,35.8,80,122,16.6,2.1,5,105,Weak
55,56,M,166.7,56.9,16.5,90,147,41.6,17.8,30,198,Good
56,24,M,164.4,66.2,17.1,63,110,40.2,16.2,43,232,Average
57,58,F,146.5,46.4,32.9,71,127,18.7,17.4,20,111,Average
58,42,M,174.1,103.1,30.5,78,123,50.7,3.6,25,153,Weak
59,45,M,185.4,80.0,21.9,93,144,46.2,7.1,22,205,Weak
60,37,M,168.9,78.8,23.4,88,144,42.1,20.9,47,241,Average
61,31,M,175.3,83.6,30.1,93,152,45.9,7.2,55,193,Weak
62,43,F,164.0,50.8,22.4,88,124,24.0,13.5,28,160,Average
63,23,F,162.4,58.9,29.6,71,119,28.1,25.5,48,178,Strong
64,59,F,165.0,63.7,31.4,77,120,20.8,25.5,30,120,Good
65,63,M,166.6,75.5,31.6,62,122,34.1,6.7,17,140,Weak
66,40,M,174.2,77.6,17.8,85,133,49.5,12.1,48,213,Good
67,27,F,150.5,55.7,39.6,66,114,29.7,13.4,23,159,Weak
68,56,F,160.2,62.4,33.3,67,103,28.8,20.7,15,133,Good
69,35,M,179.0,75.0,10.7,74,129,47.7,16.6,54,233,Strong
70,30,M,172.7,78.0,26.6,79,140,36.9,3.4,25,218,Weak
71,56,M,160.2,62.7,30.2,85,140,35.4,9.5,27,184,Average
72,36,M,171.5,80.5,21.5,86,153,46.7,16.8,53,220,Strong
73,60,M,175.1,66.5,17.3,85,125,40.4,13.9,31,211,Average
74,22,M,172.2,70.6,24.3,70,118,36.7,9.8,50,213,Weak
75,22,M,171.9,78.46,22.9,64,116,43.6,-9.3,46,219,Weak
76,37,M,174.0,75.2,18.5,82,142,39.7,20.5,50,224,Good
77,21,F,158.1,53.6,27.63524,70,115,18.9,12.4,17,116,Weak
78,21,M,170.4,74.3,19.5,82,157,45.6,12.7,54,194,Good
79,60,F,158.6,62.7,34.6,80,137,29.3,18.4,12,132,Good
80,27,F,168.5,64.2,26.2,76,108,25.2,23.1,18,164,Weak
81,59,F,156.3,60.5,33.6,79,130,29.6,22.4,23,135,Strong
82,47,F,157.0,54.1,26.8,72,117,25.1,18.2,25,157,Good
83,21,F,161.3,50.6,23.5,69,127,27.5,29.4,39,175,Strong
84,51,M,177.0,68.7,18.3,84,140,39.3,11.3,35,220,Good
85,48,M,171.0,66.2,17.3,99,144,48.8,16.0,49,225,Good
86,49,M,170.0,66.2,18.0,82,130,39.5,20.0,39,156,Average
87,41,F,158.1,51.0,21.7,86,127,23.1,28.6,46,165,Strong
88,24,F,159.0,45.5,24.5,85,135,28.5,22.9,57,197,Strong
89,35,M,178.4,79.0,15.4,73,127,52.7,14.7,68,260,Strong
90,26,F,156.7,56.3,32.8,78,123,19.7,22.9,28,130,Average
91,35,M,178.5,78.4,13.8,81,136,51.5,17.1,64,237,Strong
92,25,M,171.2,65.1,11.8,67,127,45.1,22.2,54,239,Strong
93,30,M,176.4,71.7,17.9,68,130,53.4,24.3,56,210,Good
94,27,M,175.4,86.4,19.8,76,135,47.6,20.6,48,213,Good
95,41,M,166.7,65.7,21.5,90,151,49.6,18.7,54,242,Strong
96,50,F,158.4,57.2,32.0,69,134,21.1,18.6,17,136,Average
97,22,M,175.8,72.0,30.4,75,115,34.6,19.0,54,188,Average
98,56,M,173.0,70.9,19.5,83,135,47.9,11.1,44,162,Good
99,46,F,159.1,52.2,27.2,84,127,22.9,17.9,30,136,Weak
100,44,M,180.5,79.5,21.7,87,127,42.3,10.8,33,196,Average
101,25,F,162.2,71.5,41.3,75,124,24.9,7.0,5,120,Weak
102,25,F,156.3,48.6,26.5,73,138,22.8,29.8,41,155,Strong
103,59,M,170.0,59.1,15.0,71,115,28.3,8.6,15,162,Weak
104,30,M,178.4,82.5,30.0,97,139,39.3,1.9,42,200,Weak
105,24,M,176.0,67.2,10.8,81,120,47.7,17.2,55,242,Strong
106,39,M,168.8,70.9,25.5,83,128,33.7,5.4,33,201,Weak
107,27,M,170.3,74.6,22.0,98,151,47.9,14.5,53,170,Good
108,33,M,172.8,78.8,19.3,87,146,59.8,19.7,59,228,Strong
109,28,F,163.6,52.4,20.3,72,118,31.0,23.5,23,130,Average
110,28,F,166.2,59.7,21.9,72,118,32.1,15.6,38,165,Good
111,35,M,179.2,64.7,12.9,88,128,49.7,22.5,46,239,Strong
112,34,M,177.8,76.4,28.9,82,130,41.1,5.3,38,194,Average
113,35,M,184.7,84.18,16.3,70,120,48.8,15.3,56,229,Strong
114,34,M,173.2,73.77,19.5,80,120,50.0,18.1,59,218,Good
115,25,M,164.3,61.18,22.0,78,145,43.3,18.6,47,209,Average
116,32,M,169.2,68.7,15.2,80,120,48.3,21.1,64,254,Good
117,21,F,169.1,56.1,22.6,77,120,26.3,31.3,24,162,Average
118,22,M,183.5,76.9,15.7,86,143,40.9,22.8,56,253,Strong
119,22,F,156.9,46.9,23.0,98,155,20.5,16.5,38,155,Good
120,24,M,172.1,64.5,16.8,88,154,40.2,21.7,63,201,Good
121,27,M,178.2,75.1,15.9,59,129,49.2,16.7,55,229,Strong
122,21,F,164.4,48.1,16.9,63,112,26.5,29.4,41,215,Strong
123,46,F,164.1,49.1,30.5,59,117,21.2,4.3,16,150,Weak
124,29,F,162.2,51.7,29.2,83,118,29.7,23.7,44,183,Strong
125,23,F,162.7,51.7,19.0,76,110,32.6,21.4,59,200,Weak
126,51,M,177.9,67.2,15.8,63,112,36.6,13.7,25,183,Weak
127,28,M,184.8,84.6,17.2,83,123,52.5,11.7,56,257,Good
128,23,F,164.7,44.3,26.7,80,130,22.3,12.5,25,130,Average
129,30,M,178.3,93.5,27.3,81,129,57.0,16.1,47,222,Strong
130,25,F,160.1,51.7,30.7,71,126,25.7,21.1,47,159,Strong
131,28,M,172.7,69.8,27.6,81,149,46.5,10.0,48,185,Average
132,22,M,178.3,73.2,23.4,93,132,42.7,11.7,46,208,Average
133,51,M,167.7,72.7,29.0,90,148,36.3,6.1,37,180,Weak
134,24,F,165.1,49.9,19.3,70,108,31.8,21.6,50,204,Strong
135,27,F,160.3,47.8,19.5,60,111,27.3,28.0,37,173,Strong
136,61,F,153.2,62.2,37.0,71,111,25.7,3.0,0,58,Weak
137,30,M,169.5,71.9,20.6,72,125,45.9,13.0,66,235,Good
138,42,M,180.2,73.3,20.4,95,140,53.7,26.0,41,211,Average
139,22,M,180.3,91.7,32.1,75,134,28.6,-6.9,36,210,Weak
140,23,F,164.7,62.5,31.4,77,121,23.2,14.7,41,165,Average
141,27,F,160.2,54.5,20.7,77,130,22.2,22.5,35,171,Average
142,29,M,167.9,70.7,25.3,75,135,47.3,16.2,53,181,Good
143,62,M,165.6,67.6,25.7,84,152,40.5,9.8,41,188,Good
144,21,M,169.2,92.9,33.3,93,157,44.6,10.9,52,226,Weak
145,25,M,184.1,74.7,12.6,94,141,49.5,13.0,49,243,Average
146,31,F,166.9,64.1,30.5,77,133,27.5,21.5,37,150,Good
147,21,M,175.0,66.4,16.5,77,124,39.4,13.0,54,248,Average
148,38,M,171.6,66.3,20.5,92,153,46.0,26.2,46,204,Good
149,23,F,178.1,64.2,29.2,55,102,29.9,14.6,27,126,Average
150,56,M,170.1,61.5,22.0,89,148,37.7,20.5,40,195,Strong
151,59,M,170.3,71.0,24.5,75,140,30.1,22.0,33,182,Weak
152,23,F,164.4,54.3,21.7,61,109,27.0,31.7,44,186,Strong
153,52,M,170.0,75.5,30.4,77,127,39.6,10.2,29,186,Weak
154,33,M,178.0,74.66,19.0,96,135,43.1,18.6,37,198,Average
155,58,F,154.9,51.6,24.1,85,132,25.3,19.4,31,165,Good
156,21,F,160.9,61.4,36.5,71,103,27.3,20.8,47,169,Average
157,27,M,176.0,72.86,18.6,78,155,39.7,10.1,53,231,Good
158,27,M,173.5,65.3,14.3,76,137,39.1,12.1,46,229,Average
159,21,F,163.0,62.3,32.9,75,131,33.3,12.2,44,167,Average
160,57,M,168.5,66.0,24.1,88,156,42.1,9.5,30,212,Good
161,29,F,166.7,52.84,15.2,74,125,30.7,29.7,48,186,Strong
162,45,M,170.0,70.0,20.0,73,137,34.2,8.5,36,219,Weak
163,24,F,155.5,64.4,34.8,60,109,24.7,16.7,43,174,Good
164,50,F,163.9,52.5,19.6,89,151,25.4,18.0,26,171,Good
165,60,M,173.0,68.4,11.4,70,124,47.1,12.3,52,195,Strong
166,62,M,163.7,63.9,23.3,93,144,42.7,25.0,29,211,Good
167,39,F,159.2,45.3,19.6,64,105,20.8,18.7,36,161,Good
168,22,F,162.2,60.4,27.1,74,115,34.9,22.6,37,148,Strong
169,54,F,156.5,52.2,30.1,72,117,20.5,13.5,16,110,Average
170,48,M,167.2,68.5,28.2,75,112,39.2,7.0,31,195,Average
171,61,F,160.9,63.1,30.9,83,130,27.5,21.1,27,140,Strong
172,60,M,172.5,76.0,23.1,86,154,47.3,16.0,41,206,Strong
173,27,M,168.6,67.2,23.7,77,123,45.0,11.6,41,223,Average
174,40,F,162.5,51.4,22.5,91,143,26.9,26.3,36,174,Strong
175,36,M,172.1,65.64,19.9,86,142,47.3,15.4,39,215,Good
176,58,M,168.5,74.9,30.1,89,139,40.6,15.8,29,188,Good
177,55,F,152.8,55.6,31.3,78,129,23.9,15.7,23,130,Average
178,25,F,158.1,57.9,31.5,61,117,24.5,13.7,59,157,Average
179,21,M,169.6,64.5,10.9,77,134,46.2,21.5,65,248,Strong
180,23,F,163.8,57.5,31.7,84,127,32.9,28.8,43,164,Strong
181,64,M,165.8,61.3,8.5,66,114,34.9,7.6,33,166,Good
182,21,M,187.4,84.4,18.8,82,151,50.8,16.8,49,257,Good
183,56,F,149.4,51.6,35.1,83,132,25.5,18.8,11,117,Average
184,22,M,167.3,61.4,16.4,68,114,38.8,19.9,67,240,Strong
185,28,F,165.4,62.0,31.1,58,102,25.0,21.7,31,170,Average
186,53,F,152.7,46.9,27.5,68,126,23.5,18.5,20,152,Good
187,23,M,165.7,62.7,23.2,70,123,37.7,25.5,35,237,Weak
188,46,M,176.8,80.9,22.7,82,141,50.1,22.1,45,206,Strong
189,56,F,148.2,54.7,37.7,85,125,22.7,10.7,0,134,Weak
190,44,M,172.0,71.0,18.1,69,113,48.3,28.7,52,203,Strong
191,27,M,173.8,68.4,13.9,69,110,47.8,14.1,49,244,Good
192,45,M,166.5,71.5,26.6,99,160,47.8,24.2,47,201,Strong
193,63,M,164.7,73.8,36.7,81,141,35.6,9.0,22,135,Weak
194,26,M,183.4,83.6,14.1,79,145,50.6,16.0,51,231,Strong
195,32,M,170.8,72.2,24.1,80,127,47.4,16.6,60,205,Good
196,22,F,167.0,50.3,18.9,77,120,27.9,23.3,39,168,Strong
197,21,M,175.0,84.7,28.0,61,133,50.9,11.6,42,156,Weak
198,21,M,178.9,75.5,17.2,81,138,40.8,15.4,55,213,Good
199,54,F,148.0,53.4,27.9,97,159,27.9,23.0,35,145,Strong
200,21,M,179.0,82.8,15.4,67,122,58.9,19.9,56,278,Good
201,24,M,163.9,64.8,23.6,94,141,39.7,13.2,47,224,Average
202,31,M,178.0,84.66,18.9,75,129,59.2,15.1,47,196,Strong
203,27,M,180.9,77.1,19.9,76,156,40.9,22.0,52,209,Good
204,22,F,163.8,54.2,28.4,96,151,23.6,19.4,41,155,Good
205,61,F,152.6,56.4,37.6,93,136,28.9,20.2,4,125,Weak
206,60,M,171.9,60.9,16.7,78,128,33.6,10.9,28,190,Good
207,41,F,160.0,50.0,20.6,62,106,27.4,22.6,38,178,Strong
208,59,M,166.1,67.8,25.9,98,151,40.6,22.4,34,188,Good
209,51,M,174.5,71.2,21.2,92,136,40.7,13.0,41,203,Average
210,34,M,181.1,70.5,19.4,70,131,34.1,12.7,40,217,Average
211,22,F,169.2,53.2,16.0,66,103,30.0,27.1,54,202,Strong
212,22,F,162.1,55.1,23.2,61,99,28.5,23.1,43,198,Strong
213,23,F,161.8,47.8,17.2,66,103,25.2,21.5,47,178,Strong
214,27,F,152.3,55.5,37.5,81,126,16.6,16.1,37,113,Weak
215,25,F,160.9,63.7,36.1,99,144,26.4,23.6,37,179,Good
216,37,F,149.5,38.1,17.3,66,110,16.2,23.0,35,167,Strong
217,21,M,170.0,50.1,16.3,67,124,28.5,6.4,44,210,Average
218,31,M,174.0,67.6,15.6,82,140,39.3,5.1,38,225,Average
219,49,M,176.2,73.3,22.2,88,147,45.0,9.9,33,223,Average
220,27,M,182.5,81.0,17.8,66,115,42.0,9.1,44,233,Average
221,49,F,155.9,57.0,23.3,67,104,25.1,17.5,25,110,Average
222,36,F,156.6,55.0,26.6,80,124,30.1,12.5,24,149,Average
223,33,M,179.2,76.3,23.8,85,126,32.0,8.7,36,188,Weak
224,61,F,146.5,56.16,37.3,89,152,26.9,23.5,12,118,Good
225,24,F,166.9,70.0,23.7,55,102,39.1,23.8,47,186,Strong
226,25,M,168.8,63.9,26.0,81,131,38.2,20.1,49,215,Good
227,28,F,161.4,55.9,35.2,77,128,22.4,18.1,30,152,Good
228,26,F,162.6,57.2,32.6,69,116,26.9,20.6,43,128,Strong
229,62,M,175.0,68.0,22.6,75,123,46.0,2.8,33,194,Average
230,51,M,172.4,75.6,23.3,83,120,47.4,22.4,55,211,Strong
231,26,M,180.2,103.4,24.7,70,128,67.6,16.2,46,219,Good
232,21,F,160.7,56.6,29.2,71,110,25.6,30.1,32,157,Good
233,56,F,149.0,46.7,23.2,95,157,25.0,28.0,41,186,Strong
234,52,M,165.4,74.8,27.5,86,143,38.9,18.2,56,217,Good
235,21,F,169.2,64.9,35.3,68,125,29.9,22.3,39,174,Good
236,56,F,157.2,60.4,36.2,70,118,24.2,14.3,16,132,Average
237,36,M,169.9,67.1,17.9,98,149,48.8,16.3,59,228,Good
238,32,F,163.5,55.6,25.5,68,108,28.2,24.5,36,183,Strong
239,21,F,159.9,49.7,25.4,76,116,23.4,24.3,11,145,Weak
240,63,M,165.8,63.9,20.7,82,123,26.9,14.2,28,160,Good
241,32,M,168.0,69.8,21.9,88,127,50.9,26.3,68,248,Strong
242,28,M,175.1,75.5,13.8,71,126,44.5,11.4,66,247,Good
243,40,M,169.8,84.1,25.0,93,132,57.9,19.8,40,220,Good
244,26,F,158.8,56.9,27.6,60,93,21.8,20.8,37,172,Good
245,56,F,156.9,49.9,35.9,67,128,12.1,1.2,20,118,Weak
246,22,M,168.4,69.9,15.0,51,118,44.0,16.3,61,234,Strong
247,29,M,172.7,72.6,27.5,82,121,35.0,3.3,40,213,Weak
248,61,M,171.6,86.4,28.7,70,142,35.1,-2.4,12,162,Weak
249,54,F,162.9,51.4,29.4,82,122,19.5,20.5,24,134,Average
250,56,M,168.8,66.4,23.8,91,143,34.3,20.2,35,186,Average
251,36,M,173.0,72.7,19.2,91,149,45.9,7.8,46,204,Average
252,24,M,167.5,65.66,19.1,98,154,45.3,18.3,44,241,Average
253,59,F,145.7,51.6,41.4,99,154,24.8,20.1,12,122,Average
254,23,F,158.2,47.9,30.4,75,116,21.6,10.9,26,131,Average
255,41,M,179.3,73.4,18.0,99,150,43.3,17.3,47,246,Good
256,35,M,169.9,61.7,22.2,85,136,38.1,14.3,37,216,Average
257,30,M,163.7,65.5,23.6,84,116,43.5,14.5,42,230,Good
258,44,F,167.8,63.8,24.3,63,117,29.1,14.8,43,170,Average
259,28,M,170.0,74.0,28.0,83,130,37.7,6.0,50,193,Weak
260,22,M,169.5,65.0,20.1,60,110,38.1,16.2,40,151,Weak
261,21,M,187.9,74.7,21.06,73,123,44.7,7.7,45,221,Average
262,53,M,170.0,75.1,22.4,99,142,42.8,7.4,29,181,Weak
263,21,F,158.4,48.9,22.7,81,128,25.0,21.4,41,163,Strong
264,63,F,157.6,58.2,29.2,76,121,22.9,17.9,27,126,Good
265,23,F,161.1,53.0,28.4,72,116,28.9,-4.4,22,143,Weak
266,62,M,174.7,71.9,23.6,74,130,41.2,16.6,40,205,Strong
267,32,M,179.7,90.0,29.3,96,151,49.7,1.5,50,216,Weak
268,38,M,172.3,71.6,15.5,65,111,47.4,6.2,47,230,Average
269,24,M,180.3,80.2,24.7,77,127,64.3,19.0,57,235,Strong
270,23,M,183.3,79.4,19.8,79,136,48.9,23.0,48,199,Average
271,63,M,172.4,71.66,18.9,79,152,43.1,15.8,38,173,Strong
272,27,M,178.8,73.38,7.8,75,126,49.6,21.5,54,223,Strong
273,59,F,158.2,54.34,29.6,74,133,25.1,28.6,42,148,Strong
274,36,F,166.5,53.7,25.9,84,130,27.4,18.9,40,186,Strong
275,34,F,167.5,65.8,26.0,61,115,31.0,20.5,50,174,Good
276,23,M,180.4,90.5,26.8,70,120,46.1,4.5,42,185,Weak
277,21,F,158.8,49.7,28.4,84,139,15.2,24.2,28,174,Weak
278,24,M,177.0,89.9,18.9,80,117,56.8,12.7,54,232,Average
279,55,M,170.0,75.5,20.6,67,114,45.4,12.5,40,216,Good
280,43,M,169.0,68.6,12.4,80,120,45.7,20.2,55,239,Strong
281,22,F,159.3,54.0,21.3,66,108,23.0,27.2,33,189,Good
282,46,M,173.9,69.4,17.8,88,138,43.9,14.5,46,237,Strong
283,24,M,176.0,77.5,24.7,75,114,35.6,9.3,38,200,Weak
284,56,F,164.0,57.6,23.2,95,127,24.4,23.6,27,149,Strong
285,28,M,171.4,76.8,25.1,84,130,47.8,23.0,41,217,Weak
286,53,F,160.4,59.3,20.3,57,102,22.5,-5.0,13,150,Weak
287,30,M,179.2,76.5,12.6,69,132,55.4,16.7,50,215,Strong
288,21,F,153.0,56.9,40.2,70,120,18.6,19.4,22,160,Weak
289,59,F,162.0,65.3,37.6,74,133,24.7,16.5,11,125,Average
290,27,F,164.6,56.9,29.4,68,148,26.8,19.9,51,183,Strong
291,38,M,179.9,82.2,18.0,97,145,54.3,20.0,61,241,Good
292,41,M,167.9,72.4,20.7,87,132,44.6,23.3,60,212,Good
293,21,F,168.4,60.2,34.2,82,138,25.8,16.8,32,162,Good
294,23,F,163.7,53.4,29.6,73,116,26.6,28.0,43,204,Average
295,21,F,166.3,47.6,25.3,73,112,23.8,10.1,42,172,Average
296,63,M,160.5,68.2,28.7,84,193,37.1,14.3,31,174,Strong
297,22,M,182.9,72.4,12.3,80,133,52.6,11.2,45,225,Average
298,28,M,170.3,52.5,16.8,95,134,30.1,16.5,25,185,Weak
299,25,F,154.0,57.9,33.1,62,112,30.2,18.7,36,158,Average
300,39,M,176.9,90.1,21.5,79,134,46.4,9.3,45,225,Average
301,22,M,180.6,80.0,25.2,70,142,35.6,20.4,49,221,Average
302,30,M,170.2,62.9,14.7,78,134,42.8,27.8,65,240,Strong
303,30,M,185.2,108.9,23.1,98,143,54.0,27.7,52,231,Weak
304,24,F,162.8,59.7,32.6,81,134,27.7,21.1,47,158,Good
305,64,M,163.8,68.5,30.9,87,145,35.5,18.8,26,182,Good
306,22,F,166.0,68.8,31.3,84,146,33.5,27.8,38,181,Strong
307,64,F,155.5,60.0,34.9,85,130,17.0,12.8,20,100,Weak
308,26,M,170.1,67.1,16.4,68,113,35.2,15.4,51,225,Good
309,39,F,159.3,50.6,30.8,78,128,25.2,19.6,32,167,Strong
310,50,M,165.2,67.0,28.4,96,143,39.0,13.3,38,205,Good
311,45,F,159.2,59.1,30.7,75,106,25.0,21.7,35,137,Strong
312,52,F,150.3,49.1,33.6,70,103,20.8,19.5,16,130,Weak
313,25,M,184.0,75.7,9.2,87,130,51.5,21.8,58,230,Strong
314,25,M,175.3,63.7,9.9,75,119,44.6,11.5,55,221,Good
315,35,M,177.3,82.7,23.8,83,125,49.0,12.1,51,197,Good
316,63,M,169.4,76.1,24.3,79,135,40.4,17.3,28,168,Good
317,31,M,167.0,71.1,20.0,81,140,46.9,14.6,53,228,Strong
318,42,F,158.1,51.0,14.0,68,112,23.9,20.3,30,121,Good
319,25,F,158.6,46.2,17.8,62,115,22.1,19.6,21,135,Average
320,24,F,156.1,49.4,25.1,70,110,21.7,23.8,38,137,Average
321,22,M,175.1,67.5,18.3,78,118,39.4,24.9,60,163,Average
322,26,M,172.9,83.3,31.5,64,133,45.2,9.2,44,174,Weak
323,22,F,166.0,54.9,23.5,82,155,28.1,21.5,46,167,Average
324,46,M,168.0,58.7,23.2,86,155,32.9,17.4,38,182,Average
325,37,M,181.2,86.0,23.0,83,137,52.8,21.3,44,222,Good
326,28,M,170.0,84.2,13.5,93,139,42.6,23.5,51,241,Average
327,24,M,176.1,74.8,24.3,96,125,35.7,-12.0,1,200,Weak
328,27,M,170.0,75.9,34.4,82,132,35.2,-6.6,49,202,Weak
329,28,M,171.0,74.6,25.2,83,143,42.4,8.0,52,213,Weak
330,23,F,163.5,58.5,27.9,85,133,35.7,26.8,39,168,Average
331,39,M,170.8,68.9,19.9,78,117,43.3,7.4,52,215,Average
332,55,F,154.6,58.9,41.3,80,130,23.1,18.5,27,115,Good
333,41,M,176.2,93.1,35.8,85,135,36.3,7.1,1,182,Weak
334,36,F,165.8,55.78,26.7,73,124,25.4,23.9,30,152,Good
335,29,M,172.7,71.8,15.7,86,148,52.2,19.7,57,254,Strong
336,35,M,173.1,77.6,22.8,8,122,46.4,16.7,47,216,Good
337,41,M,177.0,81.7,24.2,95,126,46.3,7.8,39,213,Average
338,23,F,161.8,58.7,29.6,76,124,29.0,10.3,44,126,Average
339,22,M,175.8,73.3,17.5,83,120,50.5,7.2,43,232,Average
340,52,F,159.5,55.2,31.5,68,103,24.4,15.0,16,119,Average
341,63,F,175.1,81.2,26.3,87,143,40.2,24.4,36,167,Weak
342,64,M,159.3,56.5,19.8,82,154,34.2,-1.4,16,144,Weak
343,41,M,175.7,81.2,22.0,80,117,43.7,14.3,42,199,Good
344,22,F,158.5,49.3,27.0,37,77,27.1,21.0,59,178,Good
345,21,F,170.5,67.8,30.7,54,102,29.7,9.8,39,166,Weak
346,44,M,177.4,87.9,25.9,95,155,48.7,5.2,28,214,Weak
347,50,F,157.3,51.1,29.1,70,118,21.6,20.5,33,164,Strong
348,26,M,180.8,69.26,13.6,80,120,44.0,1.5,53,249,Weak
349,53,M,167.0,65.7,23.7,99,153,33.7,14.2,32,185,Average
350,29,M,185.0,85.8,23.6,92,129,51.0,17.2,55,231,Good
351,47,M,177.7,87.7,28.5,82,129,40.4,12.2,44,204,Weak
352,25,M,179.4,74.3,12.4,92,139,49.1,20.9,58,270,Strong
353,40,F,159.1,50.4,16.6,67,115,28.7,25.7,32,162,Strong
354,51,F,161.2,47.8,17.1,75,123,23.9,14.1,29,154,Average
355,40,F,163.3,47.7,16.1,70,122,27.9,27.6,32,185,Strong
356,27,F,169.8,64.9,26.9,83,132,31.3,12.3,49,159,Average
357,24,M,179.4,78.1,23.9,76,121,37.9,-13.1,37,217,Weak
358,28,M,171.4,68.3,12.6,62,130,35.9,12.3,52,228,Average
359,43,M,174.6,104.9,36.2,97,150,32.7,-1.3,22,173,Weak
360,54,M,176.0,68.9,18.9,82,149,40.2,10.5,44,182,Good
361,23,F,167.2,54.8,24.5,80,110,29.0,19.5,39,175,Average
362,28,M,175.4,69.9,14.9,82,143,45.9,23.8,58,230,Good
363,29,M,170.0,66.0,20.6,95,145,39.6,6.0,38,185,Average
364,54,M,163.0,75.5,23.1,77,138,46.7,3.3,42,207,Weak
365,23,M,178.6,83.9,17.9,76,123,48.5,16.6,43,243,Average
366,35,F,158.3,70.1,32.8,72,124,29.1,21.4,41,149,Weak
367,29,F,161.4,61.8,29.8,57,118,24.6,18.7,41,168,Good
